instruction,output
"Sure, it's www.mywebsite.com.","name: generate_qr_code
arguments:
  text: www.mywebsite.com"
"Sure, the principal loan amount is $200,000, the annual interest rate is 3.5%, and the loan term is 30 years.","name: calculate_mortgage_payment
arguments:
  principal: 200000
  interest_rate: 3.5
  loan_term: 30"
"The numbers are 5, 10, 15, 20, 25.","name: calculate_average
arguments:
  numbers[5]: 5,10,15,20,25"
"Hi, can you get me the latest sports news?


 Sure, I can help with that. Let me fetch the latest sports news for you. <|endoftext|>","name: get_news
arguments:
  category: sports"
I need to generate an invoice for a customer named John Doe. He bought 2 apples for $1 each and 3 oranges for $2 each.,"name: generate_invoice
arguments:
  customer_name: John Doe
  items[2]{name,quantity,price}:
    apple,2,1
    orange,3,2"
"The title should be ""Team Meeting"" and the content should be ""Discuss project updates, budget allocation and next steps.""","name: create_note
arguments:
  title: Team Meeting
  content: ""Discuss project updates, budget allocation and next steps."""
"Hi, can you get me the latest news headlines in technology?","name: get_news_headlines
arguments:
  category: technology"
"Sure, it's www.mywebsite.com.","name: generate_qr_code
arguments:
  text: www.mywebsite.com"
"Hi, I would like to calculate my BMI. I weigh 70 kilograms and my height is 1.75 meters.","name: calculate_bmi
arguments:
  weight: 70
  height: 1.75"
"Hi, can you tell me the current price of Apple's stock?","name: get_stock_price
arguments:
  symbol: AAPL"
"No, I don't have a specific title in mind. Just suggest any popular comedy movie.","name: search_movies
arguments:
  title: """"
  genre: comedy"
"Hi, I need help with calculating the tip for my bill. The total amount is $50 and I want to leave a 15% tip.","name: calculate_tip
arguments:
  bill_amount: 50
  tip_percentage: 15"
"Hi, I was born on 1990-05-15. Can you tell me how old I am today?","name: calculate_age
arguments:
  birthdate: 1990-05-15"
"The task name is ""Buy groceries"" and it's a high priority task.","name: create_task
arguments:
  task_name: Buy groceries
  priority: high"
"Hi, I need to know the distance between New York and Los Angeles.","name: calculate_distance
arguments:
  origin: New York
  destination: Los Angeles"
I want it to be 12 characters long.,"name: generate_random_password
arguments:
  length: 12"
"Hey, I just had a meal at a restaurant and the bill amount is $50. Can you help me calculate a 15% tip?


 Sure, I can help with that. Let me calculate it for you. <|endoftext|>","name: calculate_tip
arguments:
  bill_amount: 50
  tip_percentage: 15"
I saw a jacket I liked in a store. It was originally priced at $200 but there's a 20% discount on it. Can you tell me how much it would cost after the discount?,"name: calculate_discount
arguments:
  original_price: 200
  discount_percentage: 20"
"Hi, I need to know the current stock price for Apple.


 Sure, I can help with that. Let me fetch the information for you. <|endoftext|>","name: get_stock_price
arguments:
  ticker: AAPL"
"I like rock music, I'm in a chill mood and I like the band Nirvana.","name: find_music_recommendations
arguments:
  genre: rock
  mood: chill
  artist: Nirvana"
"The title is ""Project Meeting"", the start time is ""2022-04-15T10:00:00"", and the end time is ""2022-04-15T12:00:00"".","name: create_event
arguments:
  title: Project Meeting
  start_time: ""2022-04-15T10:00:00""
  end_time: ""2022-04-15T12:00:00"""
I like pop music. And play it from my 'Feel Good' playlist.,"name: play_music
arguments:
  genre: pop
  mood: uplifting
  playlist: Feel Good"
"Yes, his email is johndoe@example.com and his phone number is 123-456-7890.","name: create_contact
arguments:
  name: John Doe
  email: johndoe@example.com
  phone: 123-456-7890"
"Hi, I need to calculate my BMI. I weigh 70 kilograms and my height is 1.75 meters.","name: calculate_bmi
arguments:
  weight: 70
  height: 1.75"
The task is to prepare a presentation for the annual meeting and the due date is 2022-05-15.,"name: create_todo
arguments:
  task: Prepare a presentation for the annual meeting
  due_date: 2022-05-15"
"Hi, I am in New York and looking for some good Italian restaurants. Can you help?


 Of course, let me find that information for you. <|endoftext|>","name: find_nearby_places
arguments:
  location: New York
  category: Italian restaurant"
I want it to be 12 characters long.,"name: generate_password
arguments:
  length: 12"
"Hi, I need help with calculating a tip. My bill amount is $50 and I want to give a 20% tip.","name: calculate_tip
arguments:
  bill_amount: 50
  tip_percentage: 20"
"Hi, I need help with tracking my calories. I had a cheeseburger, fries and a milkshake for lunch.


 Sure, I can help with that. Let me calculate the total calories for you. <|endoftext|>","name: track_calories
arguments:
  food_items[3]: cheeseburger,fries,milkshake"
"Hi, I would like to calculate my BMI. I weigh 75 kilograms and my height is 1.8 meters.","name: calculate_bmi
arguments:
  weight: 75
  height: 1.8"
"Hi, I was born on 1990-05-15. Can you tell me how old I am today?","name: calculate_age
arguments:
  birthdate: 1990-05-15"
"Hi, I was born on 1990-05-15. Can you tell me how old I am today?","name: calculate_age
arguments:
  birthdate: 1990-05-15"
Can you get me the latest news headlines for the United States?,"name: get_news_headlines
arguments:
  country: United States"
"Hi, I need help with calculating the tip for my bill. The total bill amount is $50 and I want to leave a 15% tip.","name: calculate_tip
arguments:
  bill_amount: 50
  tip_percentage: 15"
"Hi, can you help me calculate my age? I was born on 1990-05-15.","name: calculate_age
arguments:
  date_of_birth: 1990-05-15"
"I have some chicken, broccoli, and cheese. What can I make with these ingredients?","name: search_recipes
arguments:
  ingredients[3]: chicken,broccoli,cheese"
"Hi, I was born on 1990-05-15. Can you tell me how old I am today?","name: calculate_age
arguments:
  date_of_birth: 1990-05-15"
"Hi, I need to convert 1000 US dollars to Euros. Can you help me with that?","name: convert_currency
arguments:
  amount: 1000
  from_currency: USD
  to_currency: EUR"
"Hi, I need help with calculating the tip for my bill. The total bill is $50 and I want to give a 15% tip.","name: calculate_tip
arguments:
  total_bill: 50
  tip_percentage: 15"
"Sure, it's www.mywebsite.com.","name: generate_qr_code
arguments:
  text: www.mywebsite.com"
"Hi, I need to translate a sentence from English to French. The sentence is ""Hello, how are you?""","name: translate_text
arguments:
  text: ""Hello, how are you?""
  sourceLanguage: English
  targetLanguage: French"
"The book is called ""To Kill a Mockingbird"".","name: search_books
arguments:
  title: To Kill a Mockingbird"
Can you help me find a book by the author J.K. Rowling?,"name: search_book
arguments:
  query: J.K. Rowling"
I want to listen to some music. Can you play my 'Chill Vibes' playlist?,"name: play_music
arguments:
  playlist_name: Chill Vibes"
"Sure, the total loan amount is $200,000, the annual interest rate is 3.5%, and the loan term is 360 months.","name: calculate_loan_payment
arguments:
  loan_amount: 200000
  interest_rate: 3.5
  loan_term: 360"
"I need to buy milk, eggs, bread, and apples.","name: make_note
arguments:
  title: Grocery List
  content: ""I need to buy milk, eggs, bread, and apples."""
"Sure, it's www.mywebsite.com.","name: generate_qr_code
arguments:
  data: www.mywebsite.com
  size: 200
  error_correction: H"
"Hi, I need help with calculating my monthly loan payment. I borrowed $200,000 at an annual interest rate of 5% and my loan term is 30 years.","name: calculate_loan_payment
arguments:
  principal: 200000
  interest_rate: 5
  loan_term: 30"
"Hi, I need to calculate my tax. My income is $50000 and the tax rate is 20%.","name: calculate_tax
arguments:
  income: 50000
  tax_rate: 20"
"Hi, I want to create a new email address. Can you check if john.doe@example.com is available?","name: check_email_availability
arguments:
  email: john.doe@example.com"
"Can you tell me about the movie ""Inception""?","name: get_movie_details
arguments:
  title: Inception"
"Hi, I need to calculate my BMI. I weigh 70 kilograms and my height is 1.75 meters.","name: calculate_bmi
arguments:
  weight: 70
  height: 1.75"
I would like it to be 12 characters long.,"name: generate_random_password
arguments:
  length: 12"
"Sure, the principal amount is $50000, the annual interest rate is 5%, and the loan term is 10 years.","name: calculate_loan_payment
arguments:
  principal_amount: 50000
  interest_rate: 5
  loan_term: 10"
"Hey, can you tell me about the movie ""Inception""?


 Sure, let me fetch the details for you. <|endoftext|>","name: get_movie_details
arguments:
  title: Inception"
I am looking for books written by J.K. Rowling.,"name: search_books
arguments:
  query: J.K. Rowling"
I need to calculate the area of a rectangle. The length is 10 units and the width is 5 units.,"name: calculate_area
arguments:
  shape: rectangle
  dimensions:
    length: 10
    width: 5"
"Hi, I need to know the distance between New York and Los Angeles.


 Sure, let me calculate that for you. <|endoftext|>","name: calculate_distance
arguments:
  point1:
    latitude: 40.7128
    longitude: -74.006
  point2:
    latitude: 34.0522
    longitude: -118.2437"
"I have chicken, bell peppers, onions, and tomatoes.","name: search_recipe
arguments:
  ingredients[4]: chicken,bell peppers,onions,tomatoes"
I am looking for a book but I can't remember the title. The author's name is George Orwell.,"name: search_books
arguments:
  keyword: """"
  author: George Orwell
  genre: """""
"Hi, can you tell me the current stock price of Apple?","name: get_stock_price
arguments:
  company: Apple"
"Can you get me the details of the book ""1984"" by George Orwell?","name: get_book_details
arguments:
  book_title: ""1984""
  author: George Orwell"
I saw a jacket I liked for $200 but it's on sale for 20% off. How much would it cost after the discount?,"name: calculate_discount
arguments:
  original_price: 200
  discount_percentage: 20"
"Hi, I need to calculate my BMI. I weigh 75 kg and my height is 1.8 meters.


 Sure, I can help with that. Let me calculate it for you. <|endoftext|>","name: calculate_bmi
arguments:
  weight: 75
  height: 1.8"
I have a rectangle and I want to calculate its area. The length is 5 units and the width is 3 units.,"name: calculate_area
arguments:
  shape: rectangle
  dimensions:
    length: 5
    width: 3"
"The message is ""Secure this data"" and use the ""AES"" encryption algorithm.","name: encrypt_message
arguments:
  message: Secure this data
  algorithm: AES"
"Hi, I need to know the distance between New York and Los Angeles.","name: calculate_distance
arguments:
  origin: New York
  destination: Los Angeles"
I want to buy a product that costs $200. The store is offering a 15% discount. How much will I save?,"name: calculate_discount
arguments:
  price: 200
  discount_percentage: 15"
"Hi, can you get me the latest news headlines for the United States?","name: get_news_headlines
arguments:
  country: United States"
Can you help me find books by J.K. Rowling?,"name: search_books
arguments:
  query: J.K. Rowling"
I would like it to be 12 characters long.,"name: generate_password
arguments:
  length: 12"
"Hi, I need to convert 1000 US dollars to Euros. Can you help me with that?","name: convert_currency
arguments:
  amount: 1000
  from_currency: USD
  to_currency: EUR"
"The text is ""Hello World!"" and the key is ""mysecretkey"".","name: encrypt_text
arguments:
  text: Hello World!
  key: mysecretkey"
"Hi, I need to calculate the EMI for a loan I'm considering. The loan amount is $200,000, the annual interest rate is 5%, and the tenure is 20 years.


 Sure, I can help you with that. Let me calculate it for you. <|endoftext|>","name: calculate_loan_emi
arguments:
  loan_amount: 200000
  interest_rate: 5
  tenure: 240"
"Hi, can you help me calculate the area of a square with a side length of 5?


 Of course, I can help with that. Let me do the calculation for you. <|endoftext|>","name: calculate_square_area
arguments:
  side_length: 5"
"Sure, the loan amount is $50000, the annual interest rate is 5%, and the loan term is 60 months.","name: calculate_loan_payment
arguments:
  loan_amount: 50000
  interest_rate: 5
  loan_term: 60"
"Hi, I would like to calculate my BMI. I weigh 70 kg and my height is 1.75 m.","name: calculate_bmi
arguments:
  weight: 70
  height: 1.75"
"Hi, I saw a jacket I liked in a store. It was priced at $200 but they are offering a 20% discount. Can you tell me how much it will cost after the discount?","name: calculate_discount
arguments:
  original_price: 200
  discount_percentage: 20"
"Hi, I was born on 1990-05-15. Can you tell me how old I am today?","name: calculate_age
arguments:
  birth_date: 1990-05-15
  current_date: 2022-04-01"
I am looking for books by J.K. Rowling.,"name: search_books
arguments:
  query: J.K. Rowling"
"Can you find me some news articles about the recent Mars Rover landing?


 Of course, I can help with that. Let me find the information for you. <|endoftext|>","name: search_news
arguments:
  keywords[1]: Mars Rover landing"
"Hi, I need to know the distance between New York and Los Angeles.","name: calculate_distance
arguments:
  location1: New York
  location2: Los Angeles"
"Sure, the loan amount is $50000, the interest rate is 5% annually, and the loan term is 10 years.","name: calculate_loan_payment
arguments:
  loan_amount: 50000
  interest_rate: 5
  loan_term: 10"
"Hi, I need to convert 500 US dollars to Euros. Can you help me with that?","name: convert_currency
arguments:
  amount: 500
  from_currency: USD
  to_currency: EUR"
Let's start with 5 books.,"name: search_books
arguments:
  keyword: Artificial Intelligence
  limit: 5"
"Hi, I need a barcode for my product. The product code is ABC123.","name: generate_barcode
arguments:
  product_code: ABC123"
I want to buy a laptop that costs $1500. There's a 20% discount on it and the tax is 5%. Can you tell me how much I will have to pay?,"name: calculate_discounted_price
arguments:
  original_price: 1500
  discount_percent: 20
  tax_percent: 5"
"Hi, I bought a jacket for $200 and there's a 20% discount on it. Can you help me calculate the discounted price?


 Sure, I can help with that. Let me calculate the discounted price for you. <|endoftext|>","name: calculate_discount
arguments:
  original_price: 200
  discount_percentage: 20"
"Sure, the URL is www.mywebsite.com and I would like the QR code to be 500 pixels.","name: generate_qr_code
arguments:
  text: www.mywebsite.com
  size: 500"
"Sure, the principal amount is $20000, the annual interest rate is 5%, and the loan term is 60 months.","name: calculate_loan_payment
arguments:
  principal: 20000
  interest_rate: 5
  loan_term: 60"
"I have some chicken, broccoli, and cheese. What can I make with these?","name: search_recipe
arguments:
  ingredients[3]: chicken,broccoli,cheese"
I need a random number between 1 and 100.,"name: generate_random_number
arguments:
  min_value: 1
  max_value: 100"
"Hi, can you tell me the current stock price of Apple?","name: get_stock_price
arguments:
  symbol: AAPL"
I am currently in New York. Can you find the nearest gas station for me?,"name: find_nearest_gas_station
arguments:
  location: New York"
"Hey, can you tell me the status of flight BA 2159 on 2022-03-01?


 Sure, let me check that for you. <|endoftext|>","name: get_flight_status
arguments:
  flight_number: BA 2159
  date: 2022-03-01"
"Hi, I saw a dress that I really liked. It was originally priced at $200 but there's a 20% discount on it. Can you tell me how much it will cost after the discount?","name: calculate_discount
arguments:
  original_price: 200
  discount_percentage: 20"
I am looking for a book on quantum physics. Can you help me find one?,"name: search_books
arguments:
  query: quantum physics"
I'm in New York and I'm craving for some Italian food. Can you help me find a restaurant?,"name: find_nearby_restaurants
arguments:
  location: New York
  cuisine: Italian"
"Hi, I need help with calculating a tip. My bill amount is $50 and I want to leave a 15% tip.","name: calculate_tip
arguments:
  bill_amount: 50
  tip_percentage: 15"
"Hi, I need help with calculating the tip for my bill. The total amount is $50 and I want to leave a 15% tip.","name: calculate_tip
arguments:
  bill_amount: 50
  tip_percentage: 15"
"Hi, I have a list of numbers and I need to find the average. The numbers are 4, 8, 15, 16, 23, and 42.


 Sure, I can help with that. Let me calculate the average for you. <|endoftext|>","name: calculate_average
arguments:
  numbers[6]: 4,8,15,16,23,42"
Let's go with 10 characters.,"name: generate_username
arguments:
  length: 10"
"Hi, I need help with calculating a tip. My bill total is $85 and I want to leave a 15% tip. 


 Sure, let me calculate that for you. <|endoftext|>","name: calculate_tip
arguments:
  bill_total: 85
  tip_percentage: 15"
"Hi, I need to convert 100 dollars to euros. Can you help me with that?


 Sure, I can help you with that. Let me do the conversion for you. <|endoftext|>","name: convert_currency
arguments:
  amount: 100
  from_currency: USD
  to_currency: EUR"
"Hi, I want to know my BMI. I weigh 70 kg and my height is 1.75 m.","name: calculate_bmi
arguments:
  weight: 70
  height: 1.75"
"Hi, I am looking for a park in New York with a playground and a picnic area. Can you help me with that?


 Sure, I can help you with that. Let me find the information for you. <|endoftext|>","name: search_parks
arguments:
  location: New York
  amenities[2]: playground,picnic area"
"Hi, I need to convert 1000 USD to Euros. Can you help me with that?","name: convert_currency
arguments:
  amount: 1000
  from_currency: USD
  to_currency: EUR"
"The title is ""Project Meeting"", it starts on 2022-03-15 at 10:00 AM and ends at 12:00 PM. The location is ""Conference Room 1"".","name: create_event
arguments:
  title: Project Meeting
  start_date: ""2022-03-15T10:00:00""
  end_date: ""2022-03-15T12:00:00""
  location: Conference Room 1"
"Sure, it's www.mywebsite.com.","name: generate_qr_code
arguments:
  text: www.mywebsite.com"
"The list ID is 123 and the task is ""Buy groceries"".","name: add_task
arguments:
  list_id: 123
  task: Buy groceries"
I saw a dress that I liked. It was originally priced at $100 but it's on a 20% discount. How much will it cost now?,"name: calculate_discount
arguments:
  original_price: 100
  discount_percentage: 20"
"Hi, I need to calculate the sales tax for a purchase I made. The total amount was $500 and the tax rate is 7%.","name: calculate_sales_tax
arguments:
  amount: 500
  tax_rate: 7"
"The title is ""Project Update"", date is 2022-03-15, time is 10:00 AM and participants are John, Lisa and Mike.","name: schedule_meeting
arguments:
  title: Project Update
  date: 2022-03-15
  time: ""10:00""
  participants[3]: John,Lisa,Mike"
I would like a password of length 12 and high complexity.,"name: generate_password
arguments:
  length: 12
  complexity: high"
"Hi, I would like to know my BMI. I weigh 70 kg and my height is 1.75 m.","name: calculate_bmi
arguments:
  weight: 70
  height: 1.75"
Can you find me some action movies from 2019?,"name: search_movies
arguments:
  genre: action
  release_year: 2019"
"Hi, I need a secure password of 12 characters. Can you generate one for me?


 Of course, I can help with that. Let me generate a secure password for you. <|endoftext|>","name: generate_password
arguments:
  length: 12"
"Can you tell me about the movie ""Inception"" released in 2010?","name: get_movie_details
arguments:
  title: Inception
  year: 2010"
The task is to prepare a presentation on AI and the due date is next Monday.,"name: create_todo
arguments:
  task: Prepare a presentation on AI
  due_date: next Monday"
I am looking for a book by the author J.K. Rowling.,"name: search_books
arguments:
  keyword: J.K. Rowling"
"The recipient's email is boss@example.com. The subject is ""Project Update"" and the message is ""Dear Boss, The project is on track and will be completed by the end of this week. Regards, User.""","name: send_email
arguments:
  recipient: boss@example.com
  subject: Project Update
  message: ""Dear Boss, The project is on track and will be completed by the end of this week. Regards, User."""
I need a random number between 1 and 100.,"name: generate_random_number
arguments:
  min: 1
  max: 100"
"Yes, it's www.mywebsite.com.","name: generate_qr_code
arguments:
  data: www.mywebsite.com"
"What's the definition of the word ""serendipity""?","name: get_definition
arguments:
  word: serendipity"
"Hi, I would like to calculate my BMI. I weigh 70 kg and my height is 1.75 m.","name: calculate_bmi
arguments:
  weight: 70
  height: 1.75"
"Hi, I need to convert 500 USD to Euros. Can you help me with that?","name: convert_currency
arguments:
  amount: 500
  from_currency: USD
  to_currency: EUR"
I need to create an invoice for a customer named John Doe. He bought 2 apples for $1 each and 3 oranges for $2 each.,"name: create_invoice
arguments:
  customer_name: John Doe
  items[2]{product_name,quantity,price}:
    apple,2,1
    orange,3,2"
"Hi, I need to translate a sentence from English to Spanish. The sentence is ""Hello, how are you?""","name: translate_text
arguments:
  text: ""Hello, how are you?""
  source_language: English
  target_language: Spanish"
"Hi, I need to convert 1000 US dollars to Euros. Can you help me with that?","name: convert_currency
arguments:
  amount: 1000
  from: USD
  to: EUR"
"Hi, can you tell me the current stock price for Microsoft?


 Sure, I can help with that. Let me fetch the information for you. <|endoftext|>","name: get_stock_price
arguments:
  symbol: MSFT"
"Here it is - ""Artificial intelligence is an area of computer science that emphasizes the creation of intelligent machines that work and react like humans.""","name: check_word_count
arguments:
  text: Artificial intelligence is an area of computer science that emphasizes the creation of intelligent machines that work and react like humans."
"Hi, I need help calculating the tip for my bill. The total amount is $50 and I want to leave a 15% tip.","name: calculate_tip
arguments:
  bill_amount: 50
  tip_percentage: 15"
"I'm looking for ""Bohemian Rhapsody"" by Queen.","name: search_song
arguments:
  query: Bohemian Rhapsody by Queen"
"Sure, the loan amount is $350,000, the annual interest rate is 3.5%, and the loan term is 30 years.","name: calculate_mortgage_payment
arguments:
  loan_amount: 350000
  interest_rate: 3.5
  loan_term: 30"
"Hi, I need help with calculating my mortgage payment. I have a loan amount of $200,000, an annual interest rate of 3.5%, and a loan term of 30 years.","name: calculate_mortgage
arguments:
  loan_amount: 200000
  interest_rate: 3.5
  loan_term: 30"
"Hi, I need to calculate my tax. My income is $50000 and the tax rate is 20%.","name: calculate_tax
arguments:
  income: 50000
  tax_rate: 20"
"Hi, I have a sentence in French that I need translated to English. The sentence is ""Je suis très heureux de vous rencontrer"".","name: translate_text
arguments:
  text: Je suis très heureux de vous rencontrer
  source_language: fr
  target_language: en"
"Hi, can you calculate my age? I was born on 1990-05-20.


 Sure, I can help with that. Let me calculate it for you. <|endoftext|>","name: calculate_age
arguments:
  birthdate: 1990-05-20"
"Can you get me a quote from the category of love?


 Sure, let me find a quote for you. <|endoftext|>","name: get_random_quote_category
arguments:
  category: love"
"Hi, I need help with calculating my mortgage payment. I have a loan amount of $200,000, an annual interest rate of 3.5%, and a loan term of 30 years.","name: calculate_mortgage_payment
arguments:
  loan_amount: 200000
  interest_rate: 3.5
  loan_term: 30"
"Hey, can you tell me about the movie ""Inception""?


 Sure, let me fetch the details for you. <|endoftext|>","name: get_movie_details
arguments:
  title: Inception"
I need a random number between 1 and 100.,"name: generate_random_number
arguments:
  min: 1
  max: 100"
I am looking for a book but I can't remember the name. The author was Stephen King and it was a horror novel.,"name: search_books
arguments:
  keyword: """"
  author: Stephen King
  genre: horror"
"Hi, I need help with calculating my mortgage payments. I have a loan amount of $300,000, an interest rate of 3.5% and a loan term of 30 years.","name: calculate_mortgage
arguments:
  loan_amount: 300000
  interest_rate: 3.5
  loan_term: 30"
I saw a dress that I liked. It was originally priced at $100 but it's on a 20% discount. How much will it cost now?,"name: calculate_discount
arguments:
  original_price: 100
  discount_percentage: 20"
I saw a dress that I really liked. It was originally priced at $200 but it's on a 20% discount. Can you tell me how much it will cost after the discount?,"name: calculate_discount
arguments:
  original_price: 200
  discount_percentage: 20"
"Hi, I was born on 1990-05-15. Can you tell me how old I am today?","name: calculate_age
arguments:
  birthdate: 1990-05-15"
I am looking for a book but I can't remember the full title. It has the word 'Sun' in it.,"name: search_books
arguments:
  query: Sun"
I am looking for some good action movies to watch. Can you help me find some?,"name: search_movies
arguments:
  keyword: action"
How far is it from New York to Los Angeles?,"name: calculate_distance
arguments:
  origin: New York
  destination: Los Angeles"
"Hi, I need to calculate my BMI. I weigh 70 kg and my height is 1.75 m.","name: calculate_bmi
arguments:
  weight: 70
  height: 1.75"
"Hi, I bought a dress for $100 and there's a 20% discount on it. Can you calculate the discounted price for me?


 Sure, let me calculate that for you. <|endoftext|>","name: calculate_discount
arguments:
  original_price: 100
  discount_percentage: 20"
"The title is ""Buy groceries"", description is ""Buy milk, eggs, and bread"", and the due date is ""2022-05-01"".","name: create_todo
arguments:
  title: Buy groceries
  description: ""Buy milk, eggs, and bread""
  due_date: 2022-05-01"
"I need to calculate the total interest I will pay on a loan. The principal amount is $50000, the annual interest rate is 5% and the term is 5 years.","name: calculate_loan_interest
arguments:
  principal: 50000
  interest_rate: 5
  term: 5
  is_monthly: false"
"I am looking for a book but I can't remember the full title. I think it had the word ""Sun"" in it and it was written by an author whose name starts with ""H"".","name: search_books
arguments:
  title: Sun
  author: H"
"Hi, I need to calculate the area of a square. The side length is 5.","name: calculate_square_area
arguments:
  side_length: 5"
"Hi, I need to know the distance between New York and Los Angeles.","name: calculate_distance
arguments:
  source: New York
  destination: Los Angeles"
"Sure, my date of birth is 1990-05-15.","name: calculate_age
arguments:
  date_of_birth: 1990-05-15"
I need to calculate the area of a rectangle. The length is 5 and the width is 3.,"name: calculate_area
arguments:
  shape: rectangle
  dimensions:
    length: 5
    width: 3"
"Hi, I was born on 1990-05-15. Can you tell me how old I am today?","name: calculate_age
arguments:
  date_of_birth: 1990-05-15"
"The meeting is titled ""Project Discussion"". It should start at 10:00 AM and end at 11:30 AM.","name: create_calendar_event
arguments:
  title: Project Discussion
  start_time: ""10:00 AM""
  end_time: ""11:30 AM"""
"Hi, I need to convert 1000 USD to Euros. Can you help me with that?","name: convert_currency
arguments:
  amount: 1000
  from_currency: USD
  to_currency: EUR"
"Sure, the loan amount is $50000, the interest rate is 5% and the loan term is 60 months.","name: calculate_loan_payment
arguments:
  loan_amount: 50000
  interest_rate: 5
  loan_term: 60"
"Hi, I need help with calculating a tip. My bill total is $50 and I want to leave a 20% tip.","name: calculate_tip
arguments:
  bill_total: 50
  tip_percentage: 20"
Can you get me the latest sports news from the United States?,"name: get_news
arguments:
  category: sports
  country: United States"
"Sure, here it is: https://example.com/audiofile.mp3","name: analyze_audio
arguments:
  audio_url: ""https://example.com/audiofile.mp3"""
I would like a password of length 12 and high complexity.,"name: generate_password
arguments:
  length: 12
  complexity: high"
"Hi, I was born on 1990-05-15. Can you tell me how old I am in hours?","name: calculate_age_in_hours
arguments:
  birthdate: 1990-05-15"
"Hi, I need to know the distance between New York and Los Angeles.","name: calculate_distance
arguments:
  source: New York
  destination: Los Angeles"
"Hi, I was born on 1990-05-15. Can you tell me how old I am today?","name: calculate_age
arguments:
  birthdate: 1990-05-15"
I am looking for a book but I can't remember the title. The author's name is George Orwell.,"name: search_books
arguments:
  query: """"
  author: George Orwell"
"Can you calculate the area of a circle with a radius of 5?


 Sure, let me do that for you. <|endoftext|>","name: calculate_area
arguments:
  shape: circle
  dimensions:
    radius: 5"
I need to create a todo list for my weekend chores.,"name: create_todo_list
arguments:
  title: Weekend Chores"
"Hi, I am looking for a book but I can't remember the title. The author's name is George Orwell.


 Sure, I can help you with that. Let me search for books by George Orwell. <|endoftext|>","name: search_books
arguments:
  author: George Orwell"
I like action movies.,"name: search_movies
arguments:
  genre: action"
I am currently in New York City and I need to find the nearest gas station. Can you help me?,"name: find_nearest_gas_station
arguments:
  location: New York City"
The email address is john.doe@example.com.,"name: check_email_validity
arguments:
  email_address: john.doe@example.com"
"Hi, I need to know the distance between New York and Los Angeles.","name: calculate_distance
arguments:
  location1: New York
  location2: Los Angeles"
"Can you tell me about the movie ""Inception"" released in 2010?","name: get_movie_details
arguments:
  title: Inception
  year: 2010"
"Hi, I have a jacket that costs $200 and there's a 20% discount on it. Can you tell me how much I will have to pay after the discount?


 Sure, I can help with that. Let me calculate the discounted price for you. <|endoftext|>","name: calculate_discount
arguments:
  original_price: 200
  discount_percentage: 20"
The URL is www.mywebsite.com and I want the QR code to be of size 500.,"name: generate_qr_code
arguments:
  data: www.mywebsite.com
  size: 500"
"Hi, I would like to know my BMI. I weigh 70 kg and my height is 1.75 m.","name: calculate_bmi
arguments:
  weight: 70
  height: 1.75"
"Hi, I need an image related to the keyword ""sunset"".","name: search_image
arguments:
  keyword: sunset"
Can you get me the latest news articles in technology?,"name: get_news_articles
arguments:
  category: technology"
"Yes, include both numbers and symbols.","name: generate_password
arguments:
  length: 12
  include_numbers: true
  include_symbols: true"
"Sure, the loan amount is $50000, the interest rate is 5% annually, and the term is 60 months.","name: calculate_loan_payment
arguments:
  loan_amount: 50000
  interest_rate: 5
  loan_term: 60"
"The title should be ""Team Meeting"" and the content should be ""Discuss project updates, assign new tasks, and review deadlines.""","name: create_note
arguments:
  title: Team Meeting
  content: ""Discuss project updates, assign new tasks, and review deadlines."""
"Hi, can you tell me the current stock price of Microsoft?


 Sure, let me fetch that information for you. <|endoftext|>","name: get_stock_price
arguments:
  symbol: MSFT"
"Hey, can you generate a random number between 1 and 100 for me?


 Sure, I can do that. Let me generate the number for you. <|endoftext|>","name: generate_random_number
arguments:
  min: 1
  max: 100"
I would like it to be 12 characters long.,"name: generate_password
arguments:
  length: 12"
"Hi, can you tell me how old I am if I was born on 1990-05-15?


 Sure, let me calculate that for you. <|endoftext|>","name: calculate_age
arguments:
  birthdate: 1990-05-15"
"Hi, I am in New York and I am looking for some good Italian restaurants. Can you help me find some?


 Sure, I can help you with that. Let me find the information for you. <|endoftext|>","name: find_nearby_restaurants
arguments:
  location: New York
  cuisine: Italian"
I would like it to be 12 characters long.,"name: generate_password
arguments:
  length: 12"
"Hi, I would like to know my BMI. I am 1.75 meters tall and weigh 70 kilograms.","name: calculate_bmi
arguments:
  height: 1.75
  weight: 70"
"Hi, I need to convert 1000 USD to Euros. Can you help me with that?","name: convert_currency
arguments:
  amount: 1000
  from_currency: USD
  to_currency: EUR"
"Sure, here they are. Grades: [""A"", ""B"", ""A-"", ""B+"", ""A""], Credits: [3, 4, 3, 2, 3].","name: calculate_gpa
arguments:
  grades[5]: A,B,A-,B+,A
  credits[5]: 3,4,3,2,3"
